name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
,,,,,,,,,,,,,,,,,,,
#Ghost Ships,,,,,,,,,,,,,,,,,,,
Корабль-призрак,indEvo_ghost_ship_mystery_nothing,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдаленной системе, этот корабль был потерян при невыясненных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа до сих пор остаются неподтвержденными. Чувство страха окутывает судно и тяжело давит на команду, которая требует, чтобы на борту постоянно находился отряд морской пехоты на всякий случай - на случай чего, никто не уверен. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/abilities/distress_call.png,
Корабль-призрак,indEvo_ghost_ship_mystery_rogue_ai,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдаленной системе, этот корабль был потерян при невыясненных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа до сих пор остаются неподтвержденными. Чувство страха окутывает судно и тяжело давит на команду, которая требует, чтобы на борту постоянно находился отряд морской пехоты на всякий случай - на случай чего, никто не уверен. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/abilities/distress_call.png,
Корабль-призрак,indEvo_ghost_ship_mystery_hyperlost,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдалённой системе, этот корабль был потерян при невыясненных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа до сих пор остаются неподтвержденными. Чувство страха окутывает судно и тяжело давит на команду, которая требует, чтобы на борту постоянно находился отряд морской пехоты на всякий случай - на случай чего, никто не уверен. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/abilities/distress_call.png,
Корабль-призрак,indEvo_ghost_ship_mystery_alien,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдалённой системе, этот корабль был потерян при невыясненных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа до сих пор остаются неподтвержденными. Чувство страха окутывает судно и тяжело давит на команду, которая требует, чтобы на борту постоянно находился отряд морской пехоты на всякий случай - на случай чего, никто не уверен. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/abilities/distress_call.png,
Корабль-призрак,indEvo_ghost_ship_mystery_plague,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдалённой системе, этот корабль был потерян при невыясненных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа до сих пор остаются неподтвержденными. Чувство страха окутывает судно и тяжело давит на команду, которая требует, чтобы на борту постоянно находился отряд морской пехоты на всякий случай - на случай чего, никто не уверен. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/abilities/distress_call.png,
Корабль-призрак,indEvo_ghost_ship_mystery_nanite,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдалённой системе, этот корабль был потерян при невыясненных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа до сих пор остаются неподтвержденными. Чувство страха окутывает судно и тяжело давит на команду, которая требует, чтобы на борту постоянно находился отряд морской пехоты на всякий случай - на случай чего, никто не уверен. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/abilities/distress_call.png,
Корабль-призрак,indEvo_ghost_ship_mystery_cannibal,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдалённой системе, этот корабль был потерян при невыясненных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа до сих пор остаются неподтвержденными. Чувство страха окутывает судно и тяжело давит на команду, которая требует, чтобы на борту постоянно находился отряд морской пехоты на всякий случай - на случай чего, никто не уверен. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/abilities/distress_call.png,
Неуправляемый ИИ,indEvo_ghost_ship_rogue_ai,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаружено дрейфующим и разбитым в отдаленной системе, внутренние когитаторы этого корабля являются хозяевами неконтролируемого, злобного ИИ класса Альфа плюс, который до сих пор оказывал чрезвычайно сильное сопротивление - иногда смертельное - любым попыткам его удаления. Теории о том, что эта сущность каким-то образом связана с кораблями-дронами, развернутыми Tri-Tachyon Corporation во время Первой войны ИИ, до сих пор остаются неподтвержденными. Хотя любая потенциальная опасность была - в основном - взята под контроль путем полного удаления всех ненужных автоматизированных систем, экипаж все еще требует, чтобы на борту постоянно находился отряд морской пехоты на всякий случай. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/markets/rogue_ai.png,
Пространственные аномалии,indEvo_ghost_ship_hyperlost,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдалённой системе, этот корабль был потерян при загадочных обстоятельствах. Аномальные происшествия - шумы и звуки, некоторые из которых соответствуют сообщениям экипажа, проводившего длительное время на борту фазовых кораблей или рядом с импровизированными гиперволновыми ретрансляторами, другие менее объяснимы - обычны на борту корабля, особенно во время перемещения в гиперпространстве. Члены экипажа таинственным образом исчезают со скоростью примерно %s во время пребывания в гиперпространстве, и судно имеет шанс спонтанно выйти из фазы при получении повреждений в небоевых ситуациях. Чувство страха тяжело давит на обитателей корабля, которые требуют, чтобы на борту постоянно находился отряд морской пехоты на всякий случай - на случай чего, никто не уверен. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/abilities/direct_jump.png,
Заражение чужеродной формой жизни,indEvo_ghost_ship_alien,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдалённой системе, этот корабль заражён враждебной ксено-жизнью, которая до сих пор оказывала чрезвычайно сильное сопротивление - вплоть до смертельного исхода - любым попыткам удалить её из корпуса. Сообщения об активности в настоящее время %s. Сложная сеть противопехотных мин и автоматизированной обороны до сих пор не позволяет существам слишком далеко проникнуть в обитаемые районы судна, но экипаж требует, чтобы на борту постоянно находился отряд морской пехоты на случай внезапного нападения. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/markets/alien_life.png,
Зачумленный корабль,indEvo_ghost_ship_plague,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдаленной системе, этот корабль является носителем невероятно смертельной и быстро распространяющейся искусственно созданной чумы, которая до сих пор оказывала чрезвычайно сильное сопротивление попыткам дезактивации и стерилизации. Биологическое оружие невероятно вирулентно, и случайные заражения в результате нарушения герметичности нередки и неизбежны. Зловоние смерти окутывает судно и тяжело давит на экипаж, который требует, чтобы на борту постоянно находился отряд морских пехотинцев и медиков ""на всякий случай"" - хотя уровень смертности среди пострадавших в настоящее время составляет 100%, и экипаж будет теряться со скоростью примерно %s независимо от этого. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/markets/inimical_biosphere.png,
Носитель нанитов,indEvo_ghost_ship_nanite,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдалённой системе, этот корабль является домом для роя странных наномашин неизвестного происхождения, которые до сих пор оказывали чрезвычайно сильное сопротивление - часто со смертельным исходом - попыткам удалить их с судна. Припасы - и члены экипажа - теряются со скоростью примерно %s в борьбе с заражением и ремонте случайных повреждений, и корабль имеет шанс спонтанно извергать рои нанитов для защиты, когда повреждается в небоевых ситуациях. Экипаж требует, чтобы на борту постоянно находился отряд морской пехоты, ""на всякий случай"" - хотя масса нанитов на борту корабля, как было показано, полностью невосприимчива к стандартному противопехотному вооружению. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/markets/abandoned.png,
Культ каннибалов-фанатиков,indEvo_ghost_ship_cannibal,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в отдалённой системе, этот корабль является домом для субпопуляции - возможно, бывшего экипажа - которые, по-видимому, регрессировали в дикое и психопатически жестокое состояние и оказались чрезвычайно трудными для отслеживания и полного уничтожения. Сообщения об активности в настоящее время %s. Сложная сеть противопехотных мин и автоматизированной обороны до сих пор не позволяет одичавшим обитателям слишком далеко проникнуть в населенные районы судна, но экипаж требует, чтобы на борту постоянно находился отряд морской пехоты на случай внезапного нападения. Снижает максимальную боеготовность до %s, если на борту не размещено как минимум %s морпехов.

В настоящее время у вас %s морпехов по сравнению с общим количеством %s, необходимым для надлежащей охраны всех кораблей в вашем флоте, требующих морской охраны, что приводит к максимальному снижению боеготовности на %s.",,graphics/icons/markets/dissidents.png,
Полустабильные пространственные аномалии,indEvo_ghost_ship_unique_hyperlost,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Этот корпус несет на себе шрамы десятилетий боев и межпространственных полетов, его переборки и броневые плиты ощутимо потрепаны плазменным огнем и гиперпространственными штормами. Когитаторы корабля и встроенные полуинтеллектуальные ядра автоматизации за циклы разработали несколько тиков, и временами он кажется почти живым - глухое постукивание автономно перемещаемого балласта или перестраиваемых грузовых отсеков эхом разносится по его коридорам, словно тяжелое биение какого-то огромного и непостижимого сердца. Аномальные происшествия - шумы и звуки, некоторые из которых соответствуют сообщениям экипажа, проводившего длительное время на борту фазовых кораблей или рядом с импровизированными гиперволновыми ретрансляторами, другие менее объяснимы - обычны на борту корабля, особенно во время перемещения в гиперпространстве. Члены экипажа исчезают со скоростью примерно %s во время пребывания в гиперпространстве, во власти той темной цели, к которой теперь стремится корпус, и судно имеет шанс спонтанно выйти из фазы при получении повреждений в небоевых ситуациях.",,graphics/icons/abilities/direct_jump.png,
,,,,,,,,,,,,,,,,,,,
