id,name,value,maxlife,tags,foodCommodities,rarity,foodPerMonth,desc,natural_death,icon,hullmod
gravcat,Grav-Cat,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies, organs",1,1,"Это генетически сконструированные кошки с почти сюрреалистической способностью прилипать к поверхности. Они могут ходить по стенам и потолкам и часто используются в качестве игривых компаньонов космонавтами в длительных миссиях. Многие наводчики пропустили выстрел из-за внезапных десантных операций с потолка, совершаемых грави-кошками, но кто может их винить?",теперь счастливо охотится на грави-мышей на бесконечной ферме Ладда.,graphics/pets/gravcat.png,IndEvo_petHullmod
phasecat,Phase Cat,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies, organs",0.8,1,"Это гладкие черные кошки со светящимися глазами, способные входить в фазу на несколько секунд за раз, вызывая невообразимый хаос везде, куда бы они ни забрели - что обычно влечет за собой перемещение прямо сквозь стену. Они часто рассматриваются как талисманы удачи командами, бороздящими космическое пространство, считаются защищающими их от ужасов из бездны, а некоторые даже верят, что они могут видеть будущее.","отправился, чтобы твердо стоять на вечной защите живых.",graphics/pets/phasecat.png,IndEvo_petHullmod
spacerat,Space Rat,800,1460,c_mammal,"IndEvo_pet_food, food, supplies, organs",1.2,1,"Это маленькие, пушистые грызуны, которых часто держат в качестве домашних животных на космических станциях и кораблях. Они неприхотливы и могут выжить почти в любой среде, что делает их популярным выбором среди космонавтов - и едой, если ситуация достаточно отчаянная. Цвет и рисунок меха полностью настраиваются.",был обнаружен безжизненным в своей среде обитания.,graphics/pets/spacerat.png,IndEvo_petHullmod
lukasrat,Lunar Rat,800,1460,c_mammal,"IndEvo_pet_food, food, supplies, organs",1,1,"Довольно редкий грызун с белой или желтой окраской, который может парить над землей в течение нескольких секунд. Любит круглые предметы и будет пытаться гоняться за ними, часто прыгая в сторону лампочек или окон в попытке дотянуться до них. Лунным крысам нужно очень мало воздуха, и они могут выжить в почти вакууме на удивление долго.",ушел жить на сырный месяц навечно.,graphics/pets/lukasrat.png,IndEvo_petHullmod
dumbass_leopard,Qaras Leopard,800,1095,c_mammal,"IndEvo_pet_food, food, supplies, organs",0.5,4,"Этот гигантский кот, являющийся результатом несанкционированного, случайного генмодифицирования старого земляного снежного леопарда, имеет красивую, блестящую белую шерсть, похожую на шелк. Они агрессивны, глупы и имеют запутанные требования к питанию и обитанию, содержатся в основном капитанами-изгоями-мегаломанами и, как правило, рано умирают. Тем не менее, они ценятся гораздо больше своей стоимости как свидетельство пиратского мастерства и изобретательности.",разбежался и со всей силы врезался в стену и умер.,graphics/pets/dumbass_leopard.png,IndEvo_petHullmod
schafunschaf,Void Sheep,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies",0.2,2,"Довольно неуловимый питомец, Void Sheep, известен своей особой чертой - переставать существовать, когда не находится под постоянным наблюдением. Одежда, сделанная из его шерсти, имеет огромную ценность и пользуется большим спросом из-за своей редкости. Полные выпущенные наборы чрезвычайно трудно достать, так как они имеют тенденцию таинственным образом исчезать. Несмотря на свою непредсказуемую природу, Void Sheep, несомненно, пушистый и милый, часто удивляет своих владельцев неожиданными, игривыми выходками.",внезапно исчез и не появлялся до сих пор.,graphics/pets/schafunschaf.png,IndEvo_petHullmod
captain,Former Pirate Captain,10,7665,"c_mammal, no_sell, no_drop","IndEvo_pet_food, food, supplies, organs",0,2,"Этот несчастный индивидуум, ранее носивший имя капитана Перча, по-видимому, был первоначальным владельцем некоего киберпопугая, ставшего пиратским лордом. У него проявляются признаки сниженной отзывчивости, чрезмерного слюнотечения, и он издает своеобразные животные вокализации, вероятно, из-за грубо удаленных голосовых имплантатов. Хотя точные детали его состояния остаются неясными, шрамы, которые он носит, свидетельствуют о неудачной попытке спрятать крекеры в своем мозгу. Любит есть мягкие булочки, собирать красивые - хотя и бесполезные - безделушки и прижиматься к поточным каналам.","скончался, прижавшись к вентиляционным отверстиям отопления.",graphics/pets/perch.png,IndEvo_petHullmod
gigabee,Gigabee,1500,1460,c_insect,"IndEvo_pet_food, food, supplies",1,1,"Насекомое, напоминающее старого земного шмеля, с дружелюбным характером и легкой диетой. Есть два основных отличия от их предшественников: Они размером с кошку и не являются роевыми животными, вместо этого образуя стайные связи со всеми, кто оказывается рядом. Исследования доказывают, что они не должны быть в состоянии летать с их соотношением крыла к телу; Gigabee все равно это делает, и за это его любят еще больше.",улетел в рай.,graphics/pets/gigabee.png,IndEvo_petHullmod
vapourray,Kumari Vapour Ray,1500,1830,c_fish,"IndEvo_pet_food, organics, supplies",1,2,"Эти величественные животные, напоминающие маленьких скатов, живут в верхних слоях Кумари Ару с низким давлением. Они питаются фильтрацией, потребляя микроскопическую дикую природу, похожую на криль, и их можно легко приручить угощениями. Считается, что они отлично подходят в качестве домашних животных на кораблях благодаря своему послушному характеру и привычке к нулевой гравитации.",уплыл в великую тьму за пределы.,graphics/pets/vapourray.png,IndEvo_petHullmod
jungleshark,Jungle Shark,3500,2190,c_fish,"IndEvo_pet_food, food, supplies, organs",0.3,5,"Весьма активный хищник, обитающий в Джангале. Хотя их обычно считают опасными, некоторые эксцентрики отлавливают и держат их в качестве домашних животных. Jungle Sharks считаются деликатесом в высших обществах Персейской лиги и Гегемонии, что приводит к резкому росту как их цены, так и количества людей, рискующих своей жизнью, чтобы поймать одного. Они требуют очень тщательного ухода и частого кормления.",отошел на великие охотничьи угодья.,graphics/pets/jungleshark.png,IndEvo_petHullmod
huggerfish,Huggerfish,1500,1460,c_fish,"IndEvo_pet_food, organics, supplies",1,1,"Это странное существо, обнаруженное на окраинах Сектора во время рутинного сканирования предварительно засеянного водного мира, произошло от иглобрюха, но, по-видимому, утратило свои фирменные шипы в процессе эволюции. Первоначально принятые депрессивными космонавтами, ищущими смеха, их дружелюбие и их склонность раздуваться от счастья привели к их беспрецедентному распространению в качестве домашних животных среди звезд.",сейчас его обнимают тысячи детей в загробном мире.,graphics/pets/huggerfish.png,IndEvo_petHullmod
lober,Imperial Megalobster,3500,2190,c_fish,"IndEvo_pet_food, food, supplies",0.5,3,"Созданный в рамках искусственной программы разведения, требующий внимания, размером с кошку, ярко-малиновый волтурнский омар. Умнее средней собаки и довольно общительный для омара, по слухам, первые из этих существ были созданы для слегка тронутого патриарха топливного конгломерата в ходе пари. Считающиеся одним из природных наследий Волтурна, их владельцы отслеживаются, а смерти расследуются специализированным подразделением компании.","был найден безжизненным. Следственное бюро отправило письмо с резкой формулировкой, но не предприняло дальнейших действий.",graphics/pets/lober.png,IndEvo_petHullmod
agravifish,Agravifish,1500,1460,c_fish,"IndEvo_pet_food, food, supplies",0.9,1,"Их название - сокращенная версия ""антигравитационной медузы"". Встречающиеся только в передовых космических средах обитания или содержащиеся чрезвычайно богатыми капитанами, они восхищаются своей неземной красотой и способностью без усилий парить в воздухе. Они используют свои длинные, нежные щупальца, чтобы хвататься за предметы или головы ничего не подозревающих космонавтов. Обычно рекомендуется держать под рукой противоядия.",уплыл в следующий цикл жизни.,graphics/pets/agravifish.png,IndEvo_petHullmod
aristocrats,Mazalotian Goldfish,800,1095,c_fish,"IndEvo_pet_food, food, supplies",1.2,1,"Это ярко окрашенные тропические рыбы, которые являются уроженцами фирменного водного мира Персейской лиги. Они популярны среди космических путешественников, которые держат их в небольших аквариумах из-за их красоты, хотя они, как правило, быстро умирают, если их не кормить должным образом. Их название стало синонимом аристократии, которая ненавидит этот термин всей душой.",не получал еды ни дня и умер.,graphics/pets/aristocrats.png,IndEvo_petHullmod
swearingcrab,Profane Crustacean,800,1460,c_fish,"IndEvo_pet_food, food, supplies",1,1,"Что происходит, когда кучка скучающих солдат получает в свои руки мобильный комплект для генетического редактирования? Ругающийся краб. В прямом смысле. Благодаря сильной переоценке способностей, эти ракообразные были наделены как способностью имитировать человеческую речь, так и огромным словарем ругательств. Большинство людей делают вид, что это не смешно. Их широкое распространение говорит о другом. В основном ругательства.","ТЫ ТРАХНУЛСЯ, КРОВАВЫЙ МУДИЛА, КУПИ ДРУГОГО",graphics/pets/swearingcrab.png,IndEvo_petHullmod
cyberparrot,Cyberparrot,2200,2190,c_bird,"IndEvo_pet_food, food, IndEvo_parts, supplies",0.8,1,"Эти красочные и злобно умные попугаи были усовершенствованы с помощью кибернетических имплантатов, что дало им интеллект, часто превосходящий их владельцев. Они популярны среди энтузиастов технологий и часто используются в качестве компаньонов космическими инженерами и механиками, служа как домашним животным, так и помощником. Есть популярная история о капитане, который проиграл в мятеже против своего Киберпопугая, который затем сделал успешную карьеру пиратского лорда.",теперь возится в гипер-раю.,graphics/pets/cyberparrot.png,IndEvo_petHullmod
salvageraven,Salvage Raven,2200,1830,c_bird,"IndEvo_pet_food, food, supplies",1,1,"Происходящие от древних земных птиц, эти острые, черные как смоль пернатые смутьяны обладают ненасытной жаждой блестящих предметов. Неприрученные экземпляры являются проклятием любого механика, но правильно обученные способны сортировать и классифицировать лом и инструменты с удивительной точностью, что значительно ускоряет операции по очистке - даже если некоторые детали время от времени пропадают. Прозвище ""Второй лучший друг инженеров"". Первое место с незапамятных времен занимает молоток.",отправился воровать безделушки у Ладда.,graphics/pets/salvageraven.png,IndEvo_petHullmod
hullchicken,Hull Chicken,1500,1460,c_bird,"IndEvo_pet_food, food, metals, supplies",1.5,1,"Hull Chickens получили свое название из-за своей склонности гнездиться в броневых переборках. Они эволюционировали, чтобы собирать обрезки железа и другой металлический мусор, чтобы дополнить свой рацион, создавая яйца с твердой металлической скорлупой, которые выживают, плавая в невесомости, и защищают от удара, который происходит, когда снова включаются гравитационные генераторы. Их небольшой размер и низкие требования к ресурсам также делают их идеальным и удивительно ласковым питомцем для тех, кто живет в тесных помещениях.",теперь гнездится в великом запределье.,graphics/pets/hullchicken.png,IndEvo_petHullmod
slaghound,Slag Hound,7500,7665,c_alien,"IndEvo_pet_food, ore, rare_ore, metals, rare_metals, IndEvo_parts, heavy_machinery",0.1,5,"То, что кажется передвижной кучей камней, на самом деле является разумным животным ленивого и послушного нрава. Их чрезвычайно высокая внутренняя температура и рацион из угля, руд и металла дали им название и сделали их идеальными компаньонами как для падальщиков, так и для мусорщиков, которые держат их в качестве передвижных средств для утилизации отходов. Шлаковые гончие никогда не перестают расти и считаются функционально бессмертными, что приводит к тому, что многие из них становятся непроизвольными астероидами, когда их среда обитания среди звезд трагически заканчивается.","стал слишком большим, чтобы поместиться даже в самый большой отсек, и его пришлось выбросить с корабля. Перед отъездом ему подарили его любимые сплавы и много ласк. Его траектория приведет к тому, что со временем он приземлится на богатую металлами планету.",graphics/pets/slaghound.png,IndEvo_petHullmod
goopuppies,Goo Puppy,7500,7665,c_alien,"IndEvo_pet_food, food, volatiles, organics, supplies, organs",0.1,3,"Это маленькие, аморфные существа, которым нравится формироваться в сущности, напоминающие молодых собак. Они игривы и ласковы, и могут принимать разные формы и размеры. Они также едят все, включая запасную электронику и части тела, и обычно имеют постоянную работу в столовой.",стал нестабильным из-за старости и рассеялся во сне. Экипаж корабля устроил поминки и подавал желе-шоты.,graphics/pets/slimedog.png,IndEvo_petHullmod
voidsquid,Astral Squid,7500,7665,c_alien,"IndEvo_pet_food, food, supplies, organs",0.1,4,"Небольшие стаи размером с истребитель, переносимые в космосе животные с поразительным сходством с обычными земными кальмарами, эти существа охотятся с помощью тактики засад и собирают мусор в верхних слоях атмосферы планет. Исключительно умные, до такой степени, что многие считают их умнее, чем ваш средний морской пехотинец, их можно обучить извлекать потерянный экипаж из космоса в обмен на еду. Comsec активно отрицает слухи об Astral Kraken, заставляя космонавтов коллективно принять миф за правду.","покинул ваш флот в глубоком космосе, чтобы умереть в мире. В качестве прощального подарка он оставил кучу неопознанного мяса. Вы устроили пир, чтобы вспомнить его, и только несколько членов экипажа впоследствии заболели.",graphics/pets/squiddy.png,IndEvo_petHullmod
kaysaar,Ashen Cat,3000,1825,c_mech,"IndEvo_pet_food, food, supplies, organs",0.3,1,"Выглядят как черно-серые кошки, эти существа являются результатом прикрепления нанитового носителя к обычной домашней кошке, как вирусное заболевание. Они сбрасывают мертвые наниты везде, где они ходят, зарабатывая себе имя и создавая неудобства для ремонтников фильтров повсюду. Считаются необычными, они, как правило, живут дольше, чем их аналоги, из-за нанитов, постепенно заменяющих их биологические тела.","растворился в пепел, потеряв свои последние естественные частицы из-за нанитовой болезни.",graphics/pets/kaysaar.png,IndEvo_petHullmod
balloon,Blobfish,800,1460,c_fish,"IndEvo_pet_food, food, supplies",0.6,1,"Рыбы-капли не имеют ничего общего со своими сородичами со старой земли. Это странное, сделанное в лаборатории, наземное животное из, вероятно, рыбьего вида, которое надувается, когда ему угрожает опасность, когда ему не угрожает опасность, когда оно голодно или скучает, становясь каждый раз больше. Поскольку с возрастом они теряют эластичность, со временем они, как правило, выглядят как старые обвисшие мешки. Самая распространенная причина смерти: ребенок с иголкой.",превратился в воздушный шар и лопнул. Это ни для кого не стало сюрпризом.,graphics/pets/blob.png,IndEvo_petHullmod
lordandsaviour,Lord Foog the 2st,14000,2190,"c_mammal, no_sell, no_drop","IndEvo_pet_food, food, supplies, organs",0,2,"Полное название вида на самом деле Его Величество Великий Защитник Лорд Фуг 2-й, Регент Теоретик. Выведенные из древней линии борзых, в любой момент времени существуют только три - 1-й, 2-й и 3-й, - чтобы поддерживать стабильную и должным образом инбредную популяцию. Эти собаки обладают экстрасенсорными способностями, силой в зависимости от длины носа и невероятно хорошим прицелом, что делает их реальной угрозой в бою - при условии, что вы дадите им кремневый мушкет. Лорды Фуг Борзые - единственные животные, которые могут владеть землей в соответствии с правилами Персейской лиги, и имеют обширные активы по всему Мазалоту.","скончался от старости. Были проведены государственные похороны, и после окончания обязательного периода траура его похоронят в семейном склепе.",graphics/pets/lordandsaviour.png,IndEvo_petHullmod
giganticcats_roomba,Ancient Roomba,1000,1830,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery, supplies",0.6,2,"Филиал Tri-Tachyon, существующий в Персейском секторе, является лишь небольшой частью огромной компании, которая производила все, от передового ИИ до бытовой техники. От последнего осталось немногое, кроме разбросанных реликвий. Это одна из таких машин, автоматизированный вакуумный бот, предназначенный для очистки корабельных коридоров. Верный принципу работы компании, он почти разумен и является потрясающим питомцем - он может даже играть в апорт, при условии, что вы бросите очень грязный мяч, чтобы сработали датчики очистки.","врезался в стену и, наконец, сломался окончательно. Это был только вопрос времени, на самом деле.",graphics/pets/roomba.png,IndEvo_petHullmod
paranautic_gebb,Terraforming Drone,2200,2190,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery, supplies",0.3,2,"Эридани-Утопия, на пике своей власти, смогла превратить бесплодную скалу в рай. Однако условия труда на кандидатах на терраформирование были далеки от райских, что привело к разработке множества различных дронов, предназначенных для выполнения этих трудоемких задач. Это выживший из той золотой эпохи, General Environmental Bioengineering Bot. Он обладает ограниченным интеллектом, может играть в шахматы и ухаживать за вашими комнатными растениями - только держите его подальше от корабельной гидропоники.","закончилось внутреннее топливо и выключилось, став очень дорогим цветочным горшком - как оно и хотело.",graphics/pets/drone.png,IndEvo_petHullmod
felcaster_otter,Odder,1500,1460,c_alien,"IndEvo_pet_food, food, supplies, organs",0.5,1,"Странный образец, похожий на выдру, вероятно, специально спроектированный для работы на борту корабля. Они вступают в симбиотические отношения с искусственным многоклеточным организмом, чтобы компенсировать проблемы, которые в противном случае возникли бы у них при жизни в условиях невесомости, усиливая навигацию и сенсорное восприятие и избавляясь от требований к воде. Говоря менее научным языком, оддеры - это выдры, у которых из спины растут светящиеся щупальца. Они все еще достаточно милые, чтобы держать их в качестве домашних животных, перемещаясь по коридорам и играя с кабинными лампами.","уплыл в бескрайние просторы космоса, счастливо махая на всем пути.",graphics/pets/oddestotter.png,IndEvo_petHullmod
mipacem7_souljar,Light in a Jar,2200,1830,c_alien,"IndEvo_pet_food, volatiles, supplies",0.4,1,"Это свет в банке. Не совсем, но на самом деле. Ближайшим родственником будет амеба, но они, как правило, не способны ни складываться сами по себе, ни излучать видимый свет. Эта штука делает и то, и другое, и всем она нравится. Они, как правило, появляются во время длительных гиперпространственных путешествий, и их можно поймать в вакуумную банку, в которой они будут плавать, меняя цвет и размер при столкновении со стеклянными стенами. Рассказы космонавтов выдают их за души членов экипажа, которые нашли свою смерть в гиперпространстве, но это просто суеверие. Наверное.","внезапно исчез, оставив пустую банку. Куда же он мог деться?",graphics/pets/souljar.png,IndEvo_petHullmod
