id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
IndEvo_SwitchableRefining,Специализированная переработка,10,30,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,indevo.industries.changeling.industry.refining.SwitchableRefining,"Специализированные перерабатывающие заводы, предлагающие повышенный объем производства по сравнению со стандартной версией за счет переключения между желаемым типом производимого товара, жертвуя универсальностью ради выхода продукции.",500,MEDIUM
IndEvo_SwitchableMining,Специализированная добыча,10,30,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,indevo.industries.changeling.industry.mining.SwitchableMining,"Специализированные методы добычи предлагают повышенный объем производства по сравнению со стандартной версией за счет переключения между желаемым типом добываемого сырья, жертвуя универсальностью ради выхода продукции.",300,MEDIUM
IndEvo_SwitchablePopulation,Отраслевое правительство,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,indevo.industries.changeling.industry.population.SwitchablePopulation,"Базовая инфраструктура, необходимая для поддержания жизнедеятельности населения, от шатких орбитальных жилых модулей до мегаполисов и всего, что между ними.",100,
IndEvo_PetStore,Центр животных,20,30,,3,,,"structure, unraidable",,graphics/industry/petshop.png,indevo.industries.petshop.industry.PetShop,"Персейская Гильдия по охране животных осуществляет надзор за работой каждого Центра животных, независимо от его местоположения, благодаря своему эксклюзивному патенту на законное приобретение и торговлю животными на разных планетах. Со временем эта договоренность привела к созданию сложных организационных структур и все более неоднозначным правилам. Как следствие, даже редкие животные иногда становятся доступными для покупки.",500,
,,,,,,,,,,,,,,
#Artillery,,,,,,,,,,,,,,
IndEvo_Artillery_base,Орбитальная артиллерия,,,,,,,"artillery, parent_item, important, structure, codex_unlockable",artillery,graphics/icons/industry/station_category.png,indevo.industries.artillery.industry.ArtilleryStation,"Останки древней стратегической артиллерийской станции безжизненно висят над $market. Восстановление станции предоставит вам оборонительную систему вооружения непревзойденной эффективности.

Переоборудование исходной системы возможно благодаря автоматизированным строительным дронам, которыми оснащена платформа - вы можете выбрать один из нескольких вариантов.",2000,
IndEvo_Artillery_mortar,Орбитальная артиллерия - Миномёт,150,120,,10,,,"artillery, sub_item, structure, important, unraidable, codex_unlockable","{
radius:40,
variant:IndEvo_artilleryStation_mortar_variant,
fleetName:Orbital Artillery,
}",graphics/industry/artilleryStation_active.png,indevo.industries.artillery.industry.ArtilleryStation,"Древняя стратегическая оборонительная платформа, построенная Доминионом. Она будет обстреливать цели большим количеством взрывчатых боеприпасов на экстремальной дальности.

Она работает полуавтономно, поскольку ядро управления, похоже, не принимает современные ключи аутентификации.",500,
IndEvo_Artillery_missile,Орбитальная артиллерия - Ракеты,150,120,,10,,,"artillery, sub_item, structure, important, unraidable, codex_unlockable","{
radius:40,
variant:IndEvo_artilleryStation_missile_variant,
fleetName:Orbital Artillery,
}",graphics/industry/artilleryStation_active.png,indevo.industries.artillery.industry.ArtilleryStation,"Древняя стратегическая оборонительная платформа, построенная Доминионом. Запускает крупногабаритные самонаводящиеся ракеты РЭБ большой дальности для перехвата и замедления врагов.

Она работает полуавтономно, поскольку ядро управления, похоже, не принимает современные ключи аутентификации.",500,
IndEvo_Artillery_railgun,Орбитальная артиллерия - Рейлган,150,120,,10,,,"artillery, sub_item, structure, important, unraidable, codex_unlockable","{
radius:40,
variant:IndEvo_artilleryStation_railgun_variant,
fleetName:Orbital Artillery,
}",graphics/industry/artilleryStation_active.png,indevo.industries.artillery.industry.ArtilleryStation,"Древняя стратегическая оборонительная платформа, построенная Доминионом. Рейлган крейсерского размера выпускает множество чрезвычайно быстрых снарядов на большой дальности.

Она работает полуавтономно, поскольку ядро управления, похоже, не принимает современные ключи аутентификации.",500,
,,,,,,,,,,,,,,
#Technical,,,,,,,,,,,,,,
IndEvo_pirateHavenSecondary,Второстепенная база каперов,0,0,,0,,,"industry, unraidable, no_saturation_bombardment, do_not_show_in_build_dialog, hide_in_codex",,graphics/industry/pirateHaven.png,indevo.industries.privateer.industry.PrivateerBaseSlotBlocker,"Эта отрасль блокирует второй промышленный слот, необходимый для базы приватиров.",9999,
IndEvo_ChamelionIndustry,Адаптивная промышленность,0,0,,0,IndEvo_RuinedInfra,,"structure, do_not_show_in_build_dialog, hide_in_codex",,graphics/industry/industrialRuins.png,indevo.industries.ruinfra.industry.ChamelionIndustry,,9999,
IndEvo_InvisiblePlanetaryShield,Планетарный щит,150,90,,3,,,"grounddefenses, structure, do_not_show_in_build_dialog, hide_in_codex",,graphics/icons/industry/planetary_shield.png,indevo.industries.InvisiblePlanetaryShield,"Оболочка из заряженной плазмы, насыщенная экзотическими виртуальными частицами, создающая эффекты, нарушающие боевую эффективность дальнобойных бомбардировок и даже вторжения малых судов. Планетарный щит может непрерывно заряжаться и управляться из центрального источника и представляет собой грозное препятствие для любой формы наземного штурма.",2700,EXTREME
,,,,,,,,,,,,,,
#Derelicts,,,,,,,,,,,,,,
IndEvo_HullDecon,Разборщик корпусов,70,80,,7,IndEvo_Ruins,,"structure, industrial, unraidable, do_not_show_in_build_dialog, codex_unlockable",,graphics/industry/hullDecon.png,indevo.industries.derelicts.industry.HullDeconstructor,,500,HIGH
IndEvo_HullForge,Кузница корпусов,70,80,,7,IndEvo_Ruins,,"structure, industrial, unraidable, do_not_show_in_build_dialog, codex_unlockable",,graphics/industry/hullForge.png,indevo.industries.derelicts.industry.HullForge,,500,HIGH
IndEvo_ResLab,Древняя лаборатория,60,60,,6,IndEvo_Ruins,,"structure, unraidable, do_not_show_in_build_dialog, codex_unlockable",,graphics/industry/resLab.png,indevo.industries.derelicts.industry.AncientLaboratory,,500,MEDIUM
IndEvo_RiftGen,Генератор прорывов,60,60,,10,IndEvo_Ruins,,"structure, unraidable, do_not_show_in_build_dialog, codex_unlockable",,graphics/industry/riftGen.png,indevo.industries.derelicts.industry.RiftGenerator,,500,EXTREME
IndEvo_Ruins,Старые промышленные руины,0,0,,0,,,"structure, unraidable, no_saturation_bombardment, do_not_show_in_build_dialog, codex_unlockable",,graphics/industry/derelict.png,indevo.industries.derelicts.industry.Ruins,"Древние, разрушенные промышленные комплексы можно найти по всей сельской местности этого мира. Их происхождение или строитель неизвестны, но они выглядят как постройки, существовавшие до Коллапса.

Возможно, вы сможете восстановить их до рабочего состояния.",500,
IndEvo_RuinedInfra,Разрушенная инфраструктура,0,0,,0,,IndEvo_ChamelionIndustry,"structure, unraidable, no_saturation_bombardment, do_not_show_in_build_dialog, codex_unlockable",,graphics/industry/industrialRuins.png,indevo.industries.ruinfra.industry.RuinedInfrastructure,"Старая, сломанная промышленная инфраструктура разбросана по руинам, покрывающим этот мир. Удивительно, но ключевые ее части, кажется, находятся в состоянии, пригодном для ремонта.

Возможно, вы сможете восстановить ее до рабочего состояния.",500,
,,,,,,,,,,,,,,
#Flavour,,,,,,,,,,,,,,
IndEvo_BaseFlavourInd,Мировые символы,,,,,,,"flavor, parent_item, structure, unraidable",flavor,graphics/industry/flavour/palace_light.png,indevo.industries.worldwonder.industry.WorldWonder,"Человечество создавало чудеса с момента зарождения архитектуры - будь то благодаря масштабу или значению. Сооружения в этой группе представляют собой такие усилия, символы воли и настойчивости в умирающем секторе.",110,
IndEvo_LightPalace,Современный дворец,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/palace_light.png,indevo.industries.worldwonder.industry.WorldWonder,"Роскошный, светлый, современный дворец, построенный так, чтобы включать в себя все известные человеку предметы роскоши. Этот чрезвычайно дорогой комплекс, хотя и не предназначен для блага широких масс, все же вселяет благоговение и надежду на лучшее будущее в любого, кому посчастливилось родиться на планете, способной поддерживать такое чудо.

Снижает недавние волнения на этой планете на один пункт в месяц и повышает стабильность всех планет в системе на 1.",110,
IndEvo_DarkPalace,Тёмный дворец,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/palace_dark.png,indevo.industries.worldwonder.industry.WorldWonder,"Мрачный, почти гнетущий дворец, построенный в современной интерпретации готической архитектуры. Этот чрезвычайно дорогой комплекс, хотя и построен не для блага кого-либо, кроме высших эшелонов общества, все же внушает благоговение любому, кому посчастливилось родиться на планете, способной поддерживать такую растрату ресурсов, и достаточно страха, чтобы заставить замолчать любого, кто думает иначе.

Снижает недавние волнения на этой планете на один пункт в месяц и повышает стабильность всех планет в системе на 1.",110,
IndEvo_Memorial,Мемориал,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/memorial.png,indevo.industries.worldwonder.industry.WorldWonder,"Мемориал размером с небольшую страну. Это высшая дань уважения, свидетельство события или человека, построенное на века. Люди со всего сектора приезжают сюда, чтобы отдать дань уважения и помнить.

Снижает недавние волнения на этой планете на один пункт в месяц и повышает стабильность всех планет в системе на 1.",110,
IndEvo_LeisureOrbitals,Орбитальные зоны отдыха,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/leisure_orbitals.png,indevo.industries.worldwonder.industry.WorldWonder,"Если и есть зрелище, которое вы должны увидеть перед своим неминуемым концом, то орбита $marketName вполне подходит. Тысячи массивных, ярких и красочных станций висят на орбите, каждая из которых пытается превзойти своих соседей в роскоши. Здесь можно купить, испытать или проиграть все, что угодно, и даже короткий визит оставит у вас незабываемые воспоминания.

Снижает недавние волнения на этой планете на один пункт в месяц и повышает стабильность всех планет в системе на 1.",110,
IndEvo_Megachurch,Собор,100,90,,10,,,"flavor, sub_item, structure, unraidable",kadur_megachurch,graphics/industry/flavour/megachurch.png,indevo.industries.worldwonder.industry.WorldWonder,"Детям Земли, независимо от происхождения или мировоззрения, всегда нужно было во что-то верить, и они всегда строили памятники для подтверждения этих убеждений. Этот огромный собор - одна из многих таких попыток, но он, безусловно, является самой амбициозной из недавних - массивный комплекс мегазданий, построенный только для распространения принципов преобладающей религии.

Снижает недавние волнения на этой планете на один пункт в месяц и повышает стабильность всех планет в системе на 1.",110,
IndEvo_IcePalace,Ледяной дворец,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/ice_palace.png,indevo.industries.worldwonder.industry.IcePalace,"Этот сверкающий дворец с фасадом, построенным из льда и снега, выглядит так, будто перенесен из сказки. Его поддержание — масштабная задача, требующая множества различных специализированных профессий. Хотя вход для широкой публики запрещен, само присутствие этого архитектурного чуда вселяет гордость в жителей $marketName, ведь немногие могут похвастаться тем, что живут рядом с замком, сделанным из мечты.

Снижает недавние волнения на этой планете на один пункт в месяц и повышает стабильность всех планет в системе на 1.",110,
IndEvo_LavaFortress,Лавовая крепость,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/lava_fortress.png,indevo.industries.worldwonder.industry.LavaFortress,"Массивные ониксовые стены и каналы, заполненные расплавленной породой, украшают эту огромную неоготическую крепость. Она не имеет каких-либо оборонительных преимуществ, а её интерьер больше подходит для государственных визитов, чем для военных учений, но тем не менее она невероятно впечатляет. А ещё там есть лавопад. Этого достаточно, чтобы большинство людей оправдали эксплуатационные расходы.

Снижает недавние волнения на этой планете на один пункт в месяц и повышает стабильность всех планет в системе на 1.",110,
IndEvo_LifeTree,Древо жизни,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/tree_of_life.png,indevo.industries.worldwonder.industry.WorldTree,"Столетия назад вторая флотилия Доминиона случайно наткнулась на обитаемую планету, населённую жизнью, состоящей только из одного дерева с кроной, пронзающей облака. Согласно записям, инопланетные бактерии интегрировались с саженцем секвойи и быстро выросли до титанических размеров, создав мицелиеподобную сеть, соединяющую всю жизнь на планете. Технически, людей не было обнаружено.

Это кастрированный клон дерева, которое они нашли - и какое зрелище!

Снижает недавние волнения на этой планете на один пункт в месяц и повышает стабильность всех планет в системе на 1. Может повлиять на местную дикую природу.",110,
IndEvo_CloudPainter,Формирователь облаков,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/cloud_painter.png,indevo.industries.worldwonder.industry.CloudPainter,"Технологические достижения в терраформировании и управлении погодой породили множество непрактичных, но впечатляющих реализаций. Среди них роспись облаков считается вершиной расточительной роскоши.

Сеть башен, охватывающая всю планету и потребляющая больше энергии, чем большинство отраслей промышленности, внедряет нано-соединения в атмосферу, чтобы окрашивать и формировать пары в сказочные формы; это детская мечта, ставшая явью.

Снижает недавние волнения на этой планете на один пункт в месяц и повышает стабильность всех планет в системе на 1. Позволяет управлять текстурой облаков.",110,
,,,,,,,,,,,,,,
#Rebalancing,,,,,,,,,,,,,,
commerce,Commerce,90,90,,3,,,"industry, urban",,graphics/icons/industry/commerce.png,indevo.industries.TradeCenter,"Нормы, субсидии и инфраструктура для стимулирования процветающей независимой торговли. Значительно снижает степень прямого контроля администрации над колонией.",1950,MEDIUM
