id,type,text1,text2,text3,notes
IndEvo_SubspaceStation,CUSTOM,Заполнитель - Вам следует скачать все мои моды,,,
IndEvo_AnimalCenter,CUSTOM,"Центры содержания животных, управляемые Персейской природоохранной инициативой, являются одним из немногих примеров независимых станций вокруг планет, принадлежащих фракциям. Домашние животные никогда не выходят из моды, и эти оживленные мини-порты являются тому подтверждением.",,,
IndEvo_abandonedPetCenter,CUSTOM,"Остов давно заброшенного центра содержания животных. Хотя когда-то они были обычным явлением, они быстро разрушаются и распадаются после заброшенности, и поэтому удивительно редки. Беглый осмотр показывает, что он холоден и мертв в течение десятков циклов, как минимум, возможно, сотен. Более тщательный осмотр может принести утиль и редких питомцев.",,,
IndEvo_yeetopult,CUSTOM,"Невероятно простой в конструкции, но способный перемещать флот в космосе с невероятной скоростью, благодаря таинственным частицам, генерируемым в Тигле.",,,
IndEvo_crucible,CUSTOM,"До разработки локальной корональной экстракции человечество использовало естественный вакуум космоса для создания искусственных солнц в масштабах, которые можно было использовать обычными средствами. Эти конструкции, известные как Тигли, служили как населенными пунктами, так и электростанциями, обеспечивая энергией охватывающие всю систему механизмы древности.
Огромные ресурсы, затраченные на их строительство, означали, что лишь немногие Тигли пережили появление гипертехнологий.",,,
,,,,,
#Switchables,,,,,
IndEvo_base_refining,CUSTOM,"Специализированная версия переработки, которую можно перенастроить для получения более высокого выхода конкретных товаров в ущерб другим. Плавильные заводы здесь преобразуют руды и трансплутониевые руды в металлы и трансплутонии соответственно. Для выполнения самых опасных задач обычно используются телеуправляемые роботы.","Базовая версия переработки, обеспечивающая сбалансированное соотношение металлов и трансплутониевых элементов.",,
IndEvo_ore_refining,CUSTOM,"Низкотехнологичная плавильная инфраструктура для извлечения ценного металла из руды. Плохо работает с трансплутонием или другими редкими рудами, но обеспечивает более высокую базовую эффективность извлечения металла, чем обычные плавильные заводы. Это жестокая, жаркая и беспощадная рабочая среда, пожирающая людей со скоростью, сравнимой со скоростью переплавки руды.","Суровый, низкотехнологичный перерабатывающий комплекс с увеличенной добычей металла, но уменьшенной добычей транплютониевых элементов.",,
IndEvo_rare_refining,CUSTOM,"Специализированная высокотехнологичная плавильная инфраструктура для извлечения редких трансплутониев из соответствующих руд. Обычная руда здесь почти не плавится, так как автоматизированные печи специализируются на переработке экзотических руд. Большую часть работы выполняют телеуправляемые роботы.","Специализированный высокотехнологичный перерабатывающий завод с увеличенной добычей транплютониевых элементов, но уменьшенной мощностью плавки металла.",,
IndEvo_base_mining,CUSTOM,"Металлические и металлоидные руды, органика и летучие соединения требуют тяжелого оборудования, специальной инфраструктуры и квалифицированной рабочей силы для добычи. Тяжелая работа привлекает определенный тип людей, и администрация, которая не готова время от времени закрывать глаза на некоторые вещи, может столкнуться с нехваткой желающих работать.","Базовая версия добычи, извлекающая все добываемые ресурсы с примерно одинаковой скоростью.",,
IndEvo_ore_mining,CUSTOM,"Карьеры и шахты, вырубленные глубоко в камне, добывают руду в несколько хаотичной, но крупномасштабной горнодобывающей операции. Автоматизированные разведчики сосредоточены на обычных металлических жилах, отказываясь от сложных микроэлементов в пользу более крупных, но менее редких месторождений. Работа тяжелая и беспощадная, как и шахтеры, которые управляют техникой.","Крупномасштабная добыча, нацеленная на залежи обычных металлов, без добычи сложных микроэлементов.",,
IndEvo_rare_mining,CUSTOM,"Крупная горнодобывающая операция по извлечению редких минералов из земли. Специализированные процессы, необходимые для добычи микроэлементов и небольших жил, являются деликатными и часто слишком опасными для выполнения наряду с кувалдообразным подходом, используемым в обычной горнодобывающей промышленности. Хотя уровень технологий здесь выше, чем в обычной горнодобывающей промышленности, рабочая среда по-прежнему требует определенной платы.","Добыча, в которой приоритет отдается микроэлементам и добыче редкой руды с использованием высокотехнологичных методов.",,
IndEvo_volatile_mining,CUSTOM,"Захватывать летучие вещества довольно легко. Однако сделать это с высокой эффективностью не так просто, и требуется оборудование, чувствительное к нарушениям, что делает крупные горнодобывающие или гидроразрывные операции почти невозможными. Дополнительный выход, обеспечиваемый этими высокотехнологичными перерабатывающими заводами, обычно считается стоящим того, даже если они работают на человеческом капитале в той же степени, что и любая другая операция по добыче ресурсов.","Нестабильная добыча, использующая чрезвычайно деликатное оборудование для захвата и высокоэффективной переработки на месте.",,
IndEvo_organics_mining,CUSTOM,"Фазовая анкеровка насоса, создание релятивистских скважин, вытеснение жидкости странной материи и другие разрушительные методы эксплуатации, используемые для доступа к глубоким органическим залежам, чрезвычайно прибыльны и эффективны, но они делают другие операции по добыче почти невозможными из-за огромного воздействия на окружающую среду и рабочей силы, необходимой для их выполнения. Работа здесь не очень приятная и привлекает определенную клиентуру, которую другие стараются избегать.","Высокопроизводительные, сверхглубокие органические скважины для доступа даже к самым удаленным залежам, без добычи других полезных ископаемых.",,
IndEvo_pop_default,CUSTOM,"Базовая инфраструктура, необходимая для поддержки определенного населения, от шатких орбитальных жилых модулей до мегаполисов и всего, что между ними.","Это стиль управления по умолчанию, поощряющий медленный рост, стабильность и регулируемый экономический профиль.",,
IndEvo_pop_uw,CUSTOM,"Картель безжалостных преступных семей правит этим государством железной рукой. Мелкие решения принимаются местными боссами по прихоти, и личное состояние может измениться быстрее, чем кредитки переходят из рук в руки в одном из бесчисленных игорных притонов. Все может стать возможным благодаря постоянно меняющемуся статус-кво - все, кроме личной безопасности.","Передает власть на этой планете криминальному картелю, снижая доход при высокой стабильности и увеличивая его при низкой. Собирает добровольные пожертвования с торговцев, посещающих систему.",,
IndEvo_pop_rural,CUSTOM,"Люди в этом государстве живут в небольших, разрозненных деревнях, а не в центральных городах. Большинство товаров производится на месте, хотя бы из-за необходимости и отсутствия инфраструктуры. Жизнь намного проще и менее удобна, чем на планетах с аналогичной численностью населения, но предпочтительнее для многих из-за общего состояния сектора. Нарушение этой среды грязной промышленностью вызовет серьезные протесты.","Создает распределенные деревни вместо городов, увеличивая рост населения и стабильность. Фермерство обеспечивает поставки и имеет увеличенный объем производства. Промышленные здания имеют увеличенную стоимость содержания и снижают стабильность, сельские здания вместо этого повышают ее.",,
IndEvo_pop_hidden,CUSTOM,"Глубоко под поверхностью находится массивная сеть соединенных подземных узлов, в которых размещается большая часть населения и промышленности этой планеты. Проблемы, обычно связанные с воздействием атмосферы, здесь отсутствуют, города защищены скалами или водой. Немногие хотят оставаться в такой искусственной среде, лишенные возможности смотреть на далекие солнца и проживать свою жизнь в сырой, темной безопасности.","Строит подземную аркологию для размещения населения. Нивелирует большинство поверхностных угроз, увеличивает оборонительные возможности, снижает рост и доступность, а также уменьшает промышленное производство из-за ограниченного пространства.",,
IndEvo_pop_monks,CUSTOM,"Города-монастыри усеивают горы и равнины этой планеты, каждым из которых управляет секта с уникальными взглядами и ценностями, что, в свою очередь, создает изменчивый политический ландшафт, обычно наблюдаемый только в слаборазвитых обществах. Живущие здесь люди выносливы, часто имеют боевой опыт, быстро адаптируются к изменениям и строги в своих ценностях и убеждениях, что делает их идеальными морскими пехотинцами.","Учреждает монашеские секты для управления населением. Вдвое снижает положительный доход и содержание военных зданий, а также предотвращает любую деятельность Пути Ладда. Стабильность этой планеты не может опуститься ниже 3 или превысить 7, максимальная численность населения ограничена 5, а морпехи получают опыт во время службы здесь. Многочисленные секты иногда предоставляют бесплатные корабли в качестве десятины.",,
IndEvo_pop_resort,CUSTOM,"Прекрасные пляжи и величественные отели простираются вдоль берегов планеты, а обширные рекреационные сооружения усеивают внутреннюю часть континента. Это место не для жизни, а для впечатлений, предлагающее развлечения и места почти для любого бюджета. Промышленность крайне ограничена, чтобы поддерживать чистоту и привлекательность окружающей среды, а жилье непомерно дорого.","Объявляет эту планету глобальным курортом. Это значительно увеличит базовый доход, снизит все текущие расходы на 80% и повысит рост и стабильность других планет в системе. Однако курортная планета не может вырасти больше размера 4, не поддерживает промышленные здания и имеет только один промышленный слот.",,
IndEvo_pop_corpos,CUSTOM,"Массивные, освещенные неоном корпоративные аркологии возвышаются над трущобами более удачливых, ибо любой, живущий по корпоративному контракту, считается не лучше раба. Руководство живет в блеске и гламуре, ховеркары проносятся над серыми рабочими районами, словно напоминая о том, что возможно, если только достаточно потрудиться. Нет лучшего места, чтобы заработать деньги, чем здесь - и нет лучшего места, чтобы потерять все, за что ты когда-то стоял.","Передает управление этой планетой местным мегакорпорациям. Это приводит к тому, что стабильность зависит от дохода - чем больше доход, тем выше стабильность. Это также увеличивает прибыль, ограничивает время, в течение которого работа здания может быть нарушена, и разблокирует все промышленные слоты. Однако военные объекты имеют значительно увеличенные затраты, условия труда вызывают отрицательный базовый рост, и колония может уменьшиться в размерах.",,
IndEvo_pop_helldivers,CUSTOM,"Все будут процветать под бдительным надзором Суперадминистратора, избранного посредством тщательно направленной воли граждан. Население организовано в пригородные государства, культурные тенденции тщательно курируются, бюрократические процессы надежны, а обязательная военная служба в шесть циклов обеспечивает долговременную стабильность, безопасность и счастье граждан, как сейчас, так и для будущих поколений.","Назначает Суперадминистратора на эту планету. Вдвое снижает положительный доход и содержание военных зданий, а также предотвращает любую деятельность Пути Ладда. Стабильность этой планеты не может опуститься ниже 3 или превысить 7. Максимальная численность населения ограничена 5, а морпехи получают опыт во время службы здесь. Крейсера, находящиеся на хранении, переоборудуются с установкой модификации корпуса, которая увеличивает эффективность рейдов, но увеличивает потери. Штраф к доходу можно смягчить посредством военных действий.",,
IndEvo_pop_warhammer,CUSTOM,"Огонь и металл текут по венам огромных городов-ульев, возвышающихся над нефтеперерабатывающими заводами размером со страну. Люди здесь двигаются в ритме вздымающихся молотов, формирующих металл и мечты, текут вдоль шипящих труб, бредут к заводам, трудятся, чтобы отливать, собирать и выпускать в свет тайные машины, бороздящие звезды - по воле искусников, горны никогда не остынут.","Устанавливает кабал ремесленников для управления городами-ульями этой планеты. Пока потребности в товарах удовлетворены, промышленные здания будут игнорировать рейтинг опасности. Экспорт корпусов кораблей будет приносить фиксированный доход и увеличивать производственный бюджет за единицу, и вам время от времени будут предоставляться экспериментальные корабли. Остерегайтесь - на этом мире не вырастет ни одного урожая, ничто сельское не будет процветать, а нехватка припасов вызовет бунты.",,
IndEvo_pop_outpost,CUSTOM,"Простая архитектура и сборные жилые модули преобладают в главном зале этого малонаселенного аванпоста. Иммиграция закрыта, что делает рост невозможным, но позволяет использовать не масштабируемую инфраструктуру гражданского класса, которую гораздо легче обслуживать, чем обычный эквивалент. Челноки прибывают и отбывают, перевозя рабочих туда, где они нужны, и никогда не задерживаясь дольше, чем необходимо.","Якорная стоянка не может расти и не имеет промышленного потенциала, но имеет более низкие общие требования к содержанию.",,
,,,,,
#Commodities,,,,,
IndEvo_parts,RESOURCE,"Старые детали звездолетов, которые больше не могут быть должным образом произведены приходящей в упадок инфраструктурой Сектора. Их единственный надежный источник - разборка существующих кораблей. Нехватка этих деталей не сильно затруднит строительство новых кораблей, но серьезно повлияет на их качество.",,,
IndEvo_rare_parts,RESOURCE,"Древняя или высокоразвитая технология, которую больше нельзя производить в Персейском секторе. Эти компоненты необходимы для строительства новых, безупречных космических кораблей - они не продаются на открытом рынке, и именно поэтому Свалки обычно яростно охраняются.",,,
IndEvo_pet_food,RESOURCE,"Обычный корм для домашних животных различных видов - от обработанного синтетического мяса, зерна и фруктов до специализированных сплавов для экзотических экземпляров. Наличие его на борту не является необходимостью, поскольку его обычно можно заменить другими товарами, но удобство наличия универсального решения часто того стоит.",,,
,,,,,
#Weapons,,,,,
IndEvo_cryoartillery,WEAPON,"""Мы смогли воспроизвести ядро оружия по молекулярному скану, и оно, похоже, функционально, хотя мы по-прежнему не понимаем, как оно работает на самом деле. Хотя оно вполне может взорваться в любой момент, нам удалось подключить его к паре ускорительных рельсов, и первоначальные испытания показывают, что оно работает чуть более чем на 2/3 от измеренной выходной мощности оригинала.""","- Выдержка из журнала инженера, проект Снежная слепота",,
IndEvo_degrader,WEAPON,"""Хотя оружие оказалось функциональным, фактическая производительность оказалась намного ниже ожидаемой. По какой-то причине оно отказывается потреблять достаточно энергии перед выстрелом, и руководитель проекта решил оставить все как есть после того, как один из техников распался на атомы, пытаясь найти причину. Новый план состоит в том, чтобы уменьшить раму до минимально необходимого размера, чтобы достичь видимого предела потребления.""","- Engineering Log Excerpt, Project Spitfire",,
IndEvo_causalitygun,WEAPON,"""Итак, каскадные колебания энергии, которые мучили нас всю неделю, похоже, устранились сами собой без нашего вмешательства. Ребята из отдела энергоснабжения сказали, что планировали внести некоторые коррективы позже сегодня, так что это тоже не они. Учитывая, как мало мы знаем о компонентах, с которыми работаем, меня не удивит, если дело просто в каких-то странных фазах луны.""","- Engineering Log Excerpt, Project Eureka",,
IndEvo_pulsedcarbine,WEAPON,"""Учитывая катастрофические побочные эффекты процессов зарядки конденсатора вблизи основного блока, мы решили перейти на совершенно другую систему, просто поставляя новые конденсаторные блоки к оружию с помощью механизмов подачи боеприпасов. Пока это, похоже, полностью предотвращает проблемы, но у нас никогда не получится удовлетворить пиковые потребности системы таким образом.""","- Engineering Log Excerpt, Project Parallax",,
IndEvo_riftgun,WEAPON,"""Работа с устройством черного ящика оказалась, мягко говоря, опасной. У нас было несколько случаев появления странных разломов из ниоткуда, когда устройство находилось под напряжением до установки регуляторного блока, и кто-то потерял палец в одном из них. Считаю, что повезло. Завтра мы попытаемся установить фокусирующий блок, теперь, когда наши измеренные уровни выходной мощности стабилизировались в пределах, пригодных для использования в качестве оружия, и я молюсь, чтобы мы получили хорошие результаты, прежде чем руководитель проекта снова начнет задавать вопросы.""","- Engineering Log Excerpt, Project Keyhole",,
IndEvo_artillery_missile,WEAPON,"Массивная ракетная установка размером с эсминец, запускающая ECM-торпеды, которые рассеивают дезорганизующую поле двигателя мякину на большой площади. Эти ракеты представляют угрозу для кораблей, полагающихся на скорость, чтобы уклоняться от снарядов, и заставили тысячи космонавтов испытать холодную, медленную смерть в объятиях космоса после того, как их двигатели вышли из строя под постоянным воздействием помех. Их взрыв блокирует и перегружает все близлежащие корабли.",,,
IndEvo_artillery_mortar,WEAPON,"Пушка размером с эсминец, обрушивающая дестабилизированную антиматерию на поле боя. Примитивные или регрессировавшие общества в звездных системах с минометной артиллерией часто используют иконографию, изображающую сияющие красные снаряды как предвестники смерти, поскольку они имеют обыкновение попадать на планеты из-за огромного количества выпущенных снарядов за залп. Дальнобойные боеприпасы более мощные, чем тактическое вооружение, используемое в ближнем бою, которое, тем не менее, смертоносно.",,,
IndEvo_artillery_railgun,WEAPON,"Если бы звук мог передаваться в космосе, то вой этих огромных катушек можно было бы услышать на планетах, вокруг которых они вращаются. Снаряды из металла, превращенного в плазму, движутся с невообразимой скоростью, требуя предварительно ионизированных коридоров для передвижения, чтобы они не прорвались в гиперпространство. Стандартный протокол действий космонавтов при встрече с рельсовой артиллерией - включить форсаж до ближайшей точки перехода - хотя это еще никого не спасло.",,,
hartpulse,WEAPON,"""Непрекращающееся нытье о визуальных аспектах автоимпульсного лазера побудило меня перепроектировать его с нуля, сохранив при этом прежнюю производительность. Возможно, называть его в честь парня, который не затыкался по поводу его внешнего вида, было ошибкой.""","- Pyro Phage, Galatian Academy Intern",,
,,,,,
#Terrain,,,,,
IndEvo_mine_belt,TERRAIN,"Полуавтономное, самовоспроизводящееся минное поле, развернутое в богатом ресурсами поясе астероидов. Использованные мины автоматически заменяются, что позволяет полю существовать сотни лет без потери эффективности.",,,
IndEvo_mine_field,TERRAIN,"Полуавтономное, самовоспроизводящееся минное поле. Использованные мины автоматически заменяются, что позволяет полю существовать сотни лет без потери эффективности.",,,
IndEvo_slowfield,TERRAIN,"Поле, состоящее из заряженной шрапнели и частиц странной материи, которые нарушают стабильность поля двигателя и вызывают замедление. Подобные поля недолговечны и обычно использовались в стратегических системах обороны Домена в качестве полезной нагрузки ракет.",,,
IndEvo_SmokeCloud,TERRAIN,"Плотное облако, состоящее из ухудшающей работу сенсоров мякины. Подобные облака, как правило, быстро рассеиваются, поскольку остаточная сила их создания расталкивает их, но все еще полезны для укрытия или в качестве импровизированного препятствия.",,,
,,,,,
#Ships,,,,,
IndEvo_artilleryStation_base,SHIP,"Массивная, многослойная тактическая установка, обычно возводимая в качестве основного якоря для общесистемной обороны, артиллерийские станции - это пугало для любого исследователя в Секторе. Структуры эпохи экспансии часто оснащались резервными блоками принятия решений, чтобы продолжать работу в случае внезапного отсутствия людей, что привело к тому, что удивительное количество этих станций не только пережили коллапс, но и активно продолжают устраивать засады и нейтрализовать злоумышленников на своей территории с безжалостной эффективностью.

Тысячи старых, паукообразных ремонтных дронов ползают по каждой поверхности структуры, ремонтируя, заменяя и охраняя ее, управляемые центральным блоком принятия решений. Захватить артиллерийскую станцию не слишком сложно, как только будет взломан узел, но независимо от того, кому принадлежит машинный разум, без действительных учетных данных Домена он никогда не будет полностью под контролем. Риск часто считается оправданным, поскольку владение артиллерийской станцией означает владение звездной системой. До тех пор, пока машина подчиняется.",,,
IndEvo_artilleryStation_gunModule,SHIP,"Стандартная огневая платформа с довольно легким оборонительным контингентом для столь важного объекта, поскольку артиллерийские станции никогда не предназначались для работы без эскорта.",,,
IndEvo_artilleryStation_hangarModule,SHIP,"Невероятно большие, сложные и странно продвинутые интегрированные нанокузницы выпускают истребитель за истребителем, нескончаемый поток металла извергается из глубин станции. Многоногие ремонтные дроны, ползающие и извивающиеся по механизмам, яростно охраняют их, делая любую попытку вмешательства или удаления невозможной, не рискуя жизнью всех на станции.",,,
IndEvo_artilleryStation_mortarModule,SHIP,"Это стрелялка, пиу-пиу.",,,
IndEvo_MissileDecoModule,SHIP,"Массивная ракетная установка размером с эсминец, запускающая ECM-торпеды, рассеивающие дезорганизующую поле двигателя мякину на большой площади. Эти ракеты представляют угрозу для кораблей, полагающихся на скорость, чтобы уклоняться от снарядов, и заставили тысячи космонавтов испытать холодную, медленную смерть в объятиях космоса после того, как их двигатели вышли из строя под постоянным воздействием помех. Их взрыв перехватывает и перегружает любые находящиеся поблизости корабли.",,,
IndEvo_MortarDecoModule,SHIP,"Пушка размером с эсминец, обрушивающая дестабилизированную антиматерию на поле боя. Примитивные или регрессировавшие общества в звездных системах с минометной артиллерией часто используют иконографию, изображающую сияющие красные снаряды как предвестники смерти, поскольку они имеют обыкновение попадать на планеты из-за огромного количества выпущенных снарядов за залп. Дальнобойные боеприпасы более мощные, чем тактическое вооружение, используемое в ближнем бою, которое, тем не менее, смертоносно.",,,
IndEvo_RailgunDecoModule,SHIP,"Если бы звук мог передаваться в космосе, то вой этих огромных катушек можно было бы услышать на планетах, вокруг которых они вращаются. Снаряды из металла, превращенного в плазму, движутся с невообразимой скоростью, требуя предварительно ионизированных коридоров для передвижения, чтобы они не прорвались в гиперпространство. Стандартный протокол действий космонавтов при встрече с рельсовой артиллерией - включить форсаж до ближайшей точки перехода - хотя это еще никого не спасло.",,,
